,phen,male_count,female_count,combined_count
1232,C113,0,2,2
1233,C116,1,0,1
1234,C117,1,3,4
1235,C118,6,1,7
1236,C119,15,11,26
1237,C12,19,4,23
1238,C121,110,136,246
1239,C122,5,4,9
1240,C124,60,53,113
1241,C125,0,1,1
1242,C126,4,3,7
1243,C128,0,2,2
1244,C129,1,1,2
1245,C130,5,7,12
1246,C131,5,9,14
1247,C132,12,35,47
1248,C133,0,3,3
1249,C134,0,7,7
1250,C138,0,1,1
1251,C139,14,5,19
1252,C140,33,12,45
1253,C141,4,5,9
1254,C142,0,5,5
1255,C148,6,2,8
1256,C150,7,7,14
